"fecha","SPY","EFA","IJS","EEM","AGG"
"2013-01-31",0.0499228615638536,0.0366066131139067,0.0521333291263417,-0.00293494471322164,-0.0062320045752946
"2013-02-28",0.0126782154088625,-0.0129694868822967,0.0161749985930837,-0.0231054435295985,0.00589170346729695
"2013-03-31",0.0372682387234349,0.0129694868822967,0.0402586466200869,-0.0102350862176568,0.000984324680330495
"2013-04-30",0.0190298531732482,0.0489676909289325,0.00122199350772911,0.0120845179967617,0.00963959868307551
"2013-05-31",0.0233356659023212,-0.0306556776972373,0.041976346524689,-0.0494832884876715,-0.0202134590436014
"2013-06-30",-0.0134346798132619,-0.027144409719821,-0.00140267772321012,-0.0547283719576179,-0.0157781915440411
"2013-07-31",0.0503859006328611,0.0518603177549735,0.0635412814159992,0.0131598879759522,0.00268701890810163
"2013-08-31",-0.0304513196136247,-0.019746329198485,-0.0347436502578571,-0.025705652000604,-0.00829840616689204
"2013-09-30",0.0311561589250946,0.0753386276650168,0.0638736768520611,0.0695890604913161,0.0111442043702406
"2013-10-31",0.0452669014078477,0.0320818170929518,0.034234351406087,0.0408613404364373,0.00829229325916092
"2013-11-30",0.0292067852322733,0.00544946259479717,0.0416609729811772,-0.00259435569042443,-0.00251028430483924
"2013-12-31",0.0255957452090891,0.0215281391482756,0.0128923650024055,-0.00407440594102848,-0.00558272702913776
"2014-01-31",-0.0358841301023736,-0.0534132566935006,-0.0357750704691919,-0.0903226388892611,0.0152912106793641
"2014-02-28",0.0445099577873682,0.0595048290065869,0.0452570419312788,0.0332205534293806,0.00375738498951339
"2014-03-31",0.00826120615697423,-0.00460240591556449,0.0133153435763202,0.038021962216567,-0.00148157102733748
"2014-04-30",0.006927869947563,0.0165292830051578,-0.0231845150592802,0.00777272981427979,0.0081831093985274
"2014-05-31",0.0229410781564772,0.0158284562332169,0.00620559123778008,0.0290912178968523,0.0117215659780863
"2014-06-30",0.0204345479332133,0.00916555121407114,0.0377184812732927,0.0237339090170883,-0.000575378881611854
"2014-07-31",-0.0135283763296501,-0.0263800322544134,-0.0520094179212323,0.0135555350709833,-0.0025126531982762
"2014-08-31",0.0387043352987435,0.00180037032493008,0.0436578749368648,0.0279045870992776,0.0114308713576134
"2014-09-30",-0.0138916985464004,-0.0395982736916638,-0.0612602324974776,-0.0808567510255376,-0.0061673830722011
"2014-10-31",0.0232776373620727,-0.00265492048397808,0.0688747959822233,0.0140968276947779,0.0105846187434686
"2014-11-30",0.0271011120669602,0.000625321600124185,0.00477340104684698,-0.015541701118106,0.00654858593609564
"2014-12-31",-0.00253978131546084,-0.0407464972573561,0.0252960642710001,-0.040442146897977,0.00147515920779995
"2015-01-31",-0.0300768156121594,0.00622627175065649,-0.0546278516064103,-0.00689570866179379,0.020315545994686
"2015-02-28",0.0546815790273447,0.0614508720499147,0.056914477244431,0.0431364371085525,-0.00898892783252236
"2015-03-31",-0.0158304580162234,-0.014389063332739,0.0101563257422437,-0.0150864313600487,0.00374040944420084
"2015-04-30",0.00978613605972711,0.0358164136957035,-0.0184178253287519,0.0662814459298517,-0.00323269401621928
"2015-05-31",0.0127741888250421,0.00195302958556542,0.00750987154034899,-0.0419114333575545,-0.00438385822469733
"2015-06-30",-0.0205211207236839,-0.0316788519288314,0.00417144518923163,-0.0297463281606545,-0.0108257183294009
"2015-07-31",0.0223380484651718,0.0201142964570309,-0.0273755847181221,-0.0651782222036292,0.00858526951602112
"2015-08-31",-0.0628870269466519,-0.0771526148727548,-0.0472680663490714,-0.0925122097084348,-0.00336389363487211
"2015-09-30",-0.0258471530289306,-0.0451946386251714,-0.0384648521517055,-0.0318250942106633,0.00808118127292801
"2015-10-31",0.0816352359928603,0.0640259448946234,0.0635898074381167,0.0618082146242558,0.000685242501789141
"2015-11-30",0.00364870307845866,-0.00755592124658477,0.0244152579342671,-0.0255604561480882,-0.00389843700656911
"2015-12-31",-0.0174339274656115,-0.0235948273720963,-0.0521567866495012,-0.0389470134488539,-0.00191844003397268
"2016-01-31",-0.0510686199485075,-0.0567579301821874,-0.0603071899914669,-0.0516366930637702,0.0123300367627319
"2016-02-29",-0.000826537280046225,-0.0339139751436748,0.0206052591856039,-0.00821149838623114,0.00883089234893308
"2016-03-31",0.0651005091784151,0.0637456454663905,0.0899105275190388,0.121878843985409,0.00870951517150331
"2016-04-30",0.00393335076731649,0.0219751196560107,0.0210440686794335,0.00407920548222984,0.00254619818312918
"2016-05-31",0.0168685774422643,-0.000856303967900818,0.0043971568181318,-0.03762826470851,0.000135391205985158
"2016-06-30",0.00346941048676275,-0.0244912619747621,0.0082922396847338,0.0445821932833534,0.019167280097351
"2016-07-31",0.0358225044383307,0.0390001136228091,0.0493481460945153,0.0524422811730272,0.00542871163649128
